TID;SERIALNUM;VERSION;CAPABILITIES;CRC;TERMINALTYPE;COMMTYPE;CONNECTIONTYPE;NEXTFIRMUPDATE;GROUPID;PRODENABLED;MODEL;BANK;LASTCOMM;LASTUPDATE;Cliente
622607;2k622607;305;;;1;9;1;21/04/2018 04:43;;True;T1000;Parcela Ja;20/04/2018 04:09;28/02/2018 09:34;Clickviaja Parede
622612;2k622612;305;;;1;9;1;03/04/2018 00:52;;True;T1000;Parcela Ja;02/04/2018 01:29;05/12/2017 02:00;QViagem Marco de Canaveses
622616;2K622616;305;;;1;9;1;23/03/2018 10:19;;True;T1000;Parcela Ja;22/03/2018 04:24;21/02/2018 14:03;Centro Optico Iberico Vila Verde
622618;2k622618;305;;;1;9;1;08/04/2018 03:57;;True;T1000;Parcela Ja;07/04/2018 01:04;21/10/2017 16:00;Centro Optico Iberico Barcelos
622620;2K622620;305;;;1;9;1;04/05/2018 10:19;;False;T1000;Parcela Ja;03/05/2018 02:29;18/10/2017 14:38;Perfumaria Joalse
589667;2K589667;303;;;1;9;1;03/10/2017 10:41;;True;T1000;Parcela Ja;02/10/2017 12:17;02/10/2017 12:17;Clickviaja Expo
622241;2K622241;303;;;1;9;1;22/09/2017 22:56;;True;T1000;Parcela Ja;22/09/2017 06:42;24/08/2017 18:06;Opticas Portugal Santa Iria de Azoia
622249;2K622249;303;;;1;9;1;07/10/2017 03:43;;True;T1000;Parcela Ja;06/10/2017 09:28;01/09/2017 16:33;Optica Arlindo
622256;2K622256;303;;;1;9;1;18/07/2017 00:27;;True;T1000;Parcela Ja;17/07/2017 10:24;17/07/2017 10:24;Rota das Viagens
622572;2K622572;303;;;1;9;1;10/10/2017 09:24;;True;T1000;Parcela Ja;09/10/2017 01:55;22/09/2017 10:57;Opticenter Leiria
622573;2K622573;303;;;1;9;1;27/09/2017 23:01;;True;T1000;Parcela Ja;27/09/2017 05:46;25/09/2017 11:29;Opticenter Aveiro
622575;2K622575;303;;;1;9;1;14/10/2017 02:53;;True;T1000;Parcela Ja;13/10/2017 00:54;21/09/2017 13:06;Opticenter Santo Tirso
622578;2K622578;303;;;1;9;1;09/10/2017 06:06;;True;T1000;Parcela Ja;08/10/2017 10:55;20/09/2017 17:10;Opticenter Braga
622581;2K622581;303;;;1;9;1;23/09/2017 03:12;;True;T1000;Parcela Ja;22/09/2017 16:05;20/09/2017 18:30;Opticenter Fafe
622598;2K622598;303;;;1;9;1;25/09/2017 09:11;;True;T1000;Parcela Ja;24/09/2017 01:43;18/07/2017 04:33;28 Viagens
622611;2k622611;303;;;1;9;1;22/09/2017 06:45;;True;T1000;Parcela Ja;21/09/2017 06:01;23/08/2017 09:20;Centro Optico Iberico Moncao
622613;2k622613;303;;;1;9;1;10/10/2017 10:02;;True;T1000;Parcela Ja;09/10/2017 00:57;24/08/2017 17:34;Oi Viagens
622614;2k622614;303;;;1;9;1;01/09/2017 03:27;;True;T1000;Parcela Ja;31/08/2017 12:25;09/08/2017 15:33;Centro Optico Iberico Valenca
622235;2K622235;302;;;1;9;1;29/06/2017 04:03;;True;T1000;Parcela Ja;28/06/2017 06:02;26/06/2017 10:45;Clickviaja Almancil
622242;2K622242;302;;;1;9;1;09/06/2017 09:51;;True;T1000;Parcela Ja;08/06/2017 00:31;30/05/2017 14:48;Patamares do Mundo
622608;2k622608;302;;;1;9;1;23/06/2017 06:05;;True;T1000;Parcela Ja;22/06/2017 01:49;20/06/2017 15:36;Centro Optico Iberico Melgaço
589637;2K589637;300;;;;;;;;;;;16/05/2018 18:08;;
622609;2k622609;300;;;1;9;1;14/07/2017 08:37;;True;T1000;Parcela Ja;13/07/2017 16:05;13/07/2017 16:04;Destino Orion Viagens
